START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/04/2014,7:30 PM,7:30 PM,Ny Islanders at Washington,Verizon Center - Washington - DC,TSN2 / NBCSN,02/04/2014,02/04/2014,10:30 PM,10:30 PM,FALSE,TRUE,02/04/2014,6:30 PM,6:30 PM,FREE,BUSY
02/06/2014,7:00 PM,7:00 PM,Winnipeg at Washington,Verizon Center - Washington - DC,TSN-JETS /  CSN-DC,02/06/2014,02/06/2014,10:00 PM,10:00 PM,FALSE,TRUE,02/06/2014,6:00 PM,6:00 PM,FREE,BUSY
02/08/2014,8:00 PM,8:00 PM,New Jersey at Washington,Verizon Center - Washington - DC,MSG /  CSN-DC,02/08/2014,02/08/2014,11:00 PM,11:00 PM,FALSE,TRUE,02/08/2014,7:00 PM,7:00 PM,FREE,BUSY
02/27/2014,7:30 PM,7:30 PM,Washington at Florida,BB&T Center - Sunrise - FL,CSN-DC /  FS-F,02/27/2014,02/27/2014,10:30 PM,10:30 PM,FALSE,TRUE,02/27/2014,6:30 PM,6:30 PM,FREE,BUSY
03/01/2014,1:00 PM,1:00 PM,Washington at Boston,TD Garden - Boston - MA,NHLN-US /  CSN-DC /  NESN,03/01/2014,03/01/2014,4:00 PM,4:00 PM,FALSE,TRUE,03/01/2014,12:00 PM,12:00 PM,FREE,BUSY
03/02/2014,12:30 PM,12:30 PM,Philadelphia at Washington,Verizon Center - Washington - DC,NBC / NBCSN,03/02/2014,03/02/2014,3:30 PM,3:30 PM,FALSE,TRUE,03/02/2014,11:30 AM,11:30 AM,FREE,BUSY
03/05/2014,8:00 PM,8:00 PM,Washington at Philadelphia,Wells Fargo Center - Philadelphia - PA,TSN2 / NBCSN,03/05/2014,03/05/2014,11:00 PM,11:00 PM,FALSE,TRUE,03/05/2014,7:00 PM,7:00 PM,FREE,BUSY
03/06/2014,7:00 PM,7:00 PM,Washington at Boston,TD Garden - Boston - MA,RDS2 /  CSN-DC /  NESN,03/06/2014,03/06/2014,10:00 PM,10:00 PM,FALSE,TRUE,03/06/2014,6:00 PM,6:00 PM,FREE,BUSY
03/08/2014,7:00 PM,7:00 PM,Phoenix at Washington,Verizon Center - Washington - DC,CSN-DC,03/08/2014,03/08/2014,10:00 PM,10:00 PM,FALSE,TRUE,03/08/2014,6:00 PM,6:00 PM,FREE,BUSY
03/10/2014,7:00 PM,7:00 PM,Pittsburgh at Washington,Verizon Center - Washington - DC,NHLN-US /  ROOT /  CSN-DC,03/10/2014,03/10/2014,10:00 PM,10:00 PM,FALSE,TRUE,03/10/2014,6:00 PM,6:00 PM,FREE,BUSY
